scheduler;safe_oracles;use_case;use_idlesim;unsafe_oracles;taskset_file;taskset_position;U;Uv;nbt;EDFVD_test;probability_of_HI;min_period;max_period;timeout;is_safe;automaton_depth;visited_count;duration_ns
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;98;0.5;0.500819530710835;5.0;1.0;0.5;5.0;100.0;False;True;15;68443;469175899
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;93;0.5;0.4992157600853252;5.0;1.0;0.5;5.0;100.0;False;True;28;310634;2494915080
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;100;0.5;0.4968984962406015;5.0;1.0;0.5;5.0;150.0;False;True;37;9427;28157167
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;83;0.5;0.4957476076555024;5.0;1.0;0.5;5.0;100.0;False;True;20;759067;6743139028
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;101;0.5;0.4975478919262467;5.0;1.0;0.5;5.0;150.0;False;True;30;133447;1217486863
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;88;0.5;0.4977771442394084;5.0;1.0;0.5;5.0;100.0;False;True;29;704838;6960624669
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;63;0.5;0.496324502129482;5.0;1.0;0.5;5.0;100.0;False;True;47;1003444;9686656002
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;105;0.5;0.4954656646035956;5.0;1.0;0.5;5.0;150.0;False;True;26;137772;1064793778
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;106;0.5;0.5025028229915447;5.0;1.0;0.5;5.0;150.0;False;True;57;186197;1555574442
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;65;0.5;0.496039886039886;5.0;1.0;0.5;5.0;100.0;False;True;30;1438878;14406997300
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;102;0.5;0.4962772734511865;5.0;1.0;0.5;5.0;150.0;False;True;35;696552;6671279171
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;84;0.5;0.5034983558231636;5.0;1.0;0.5;5.0;100.0;False;True;27;1340309;13069974209
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;110;0.5;0.4955680441512989;5.0;1.0;0.5;5.0;150.0;False;True;40;61392;221568541
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;108;0.5;0.5021978021978022;5.0;1.0;0.5;5.0;150.0;False;True;20;290617;2283475742
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;112;0.5;0.4970700334397324;5.0;1.0;0.5;5.0;150.0;False;True;131;2032;10256543
edfvd;[];ACBFS, no oracle;True;[];outputs/20251022_053515-statespace-rtss-period-max.txt;111;0.5;0.5038775510204081;5.0;1.0;0.5;5.0;150.0;False;True;107;519868;4579480445
